forum_user_id,post_id
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,2
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,1
9ae0f6cfb9e83db30faca2b87203b46995f96654,7
9ae0f6cfb9e83db30faca2b87203b46995f96654,17
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,21
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,26
c6f1441783a003726231953de9fbb7e592ed92be,17
c6f1441783a003726231953de9fbb7e592ed92be,17
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,46
c058be47899fb116b6080abb66c49df7fea7a461,58
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,66
9b6433c72026584dbb0e3b5ae1b2e3883b02e556,93
9b6433c72026584dbb0e3b5ae1b2e3883b02e556,21
4bf725f1c124f99ebb08c9d6ef0b55e7a58ea379,103
c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4,93
a3dce0c7a8e6ee68b18c82e7773726659a1ca158,103
a374daa0ab4f2e32cd835dd24049b715081e1030,109
9ead4a5c9b4f969cf4c969ac35ce411f879a0b8e,108
aac5f4884efea9c8810c8bcb1b8910ecd500f60b,115
9b6433c72026584dbb0e3b5ae1b2e3883b02e556,93
50140832e7c0f150049bf29758986a82d178055e,44
50140832e7c0f150049bf29758986a82d178055e,70
50140832e7c0f150049bf29758986a82d178055e,114
50140832e7c0f150049bf29758986a82d178055e,114
c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4,93
50140832e7c0f150049bf29758986a82d178055e,114
5a767e2af9d12ec1c09dab9eb98638d9a5f8885d,17
9415d1e5623a6e82d22672c6a06e9e80359a28e3,120
c69d3e4cc0b1c246122687229d96fa861da84e42,98
cafcae66be212c7044b9845151f2191df355ef64,29
c7da9f25198eee522753291d958e0287f4d1f41e,145
c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4,142
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,142
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,142
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,157
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,142
c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4,142
be06d95dd4b2b78b94a193695d50d16ac0efc97f,89
60de574ce280106cf1d364f12da4cc91b2b60404,115
60de574ce280106cf1d364f12da4cc91b2b60404,44
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,139
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,109
ce2d6d34690b17a821cafbf57690f40d5c2ae12f,21
cf04eda15ead3ffb972c4367de54e71d1ac1405c,164
ce2d6d34690b17a821cafbf57690f40d5c2ae12f,57
60de574ce280106cf1d364f12da4cc91b2b60404,164
