post_id,forum_user_id
9,b0eaa4b789ec65c0cdcf42c2c4ca3ec914d382c0
41,9b77674aedc1a4293f89f62e76549ce621e69c83
220,e33e2d1307ff534afa76685ed6e924428510b1f5
246,3480add4ff65ee2ed11887f709b42e0ec92abb9c
288,58a7ef1e1d55e93d6bae344a0bd4b711fe803a89
424,d0f3ea26b6ce179a731436dd12678202560c75b1
112,d723c1b975380e034b84f56b300ba4c040d01c4b
10,18a0615c7e065d1079682d77e6b80621dcdf5fd4
44,03b65a2fbf678e9310c2a0b66e946f03753e27af
6,036b1c6378eab2adaf55bfdba07d748a89afbf0c
361,960f292ffeec264097c04bee46320985cd13c212
50,78267dccab5783b5f0e015a6441432a2f13d6c72
382,434bcce6cad213e4d915ca8abda3cdc0df64fdf6
175,7170a308b14dacf63567f7f37d8ce6b9aefdab2c
87,78267dccab5783b5f0e015a6441432a2f13d6c72
17,9cf017443f6dc103d0bdd60b37e37f06b6daaa22
17,03db6b89c46d83b17724bf853414b21c5c27edf5
20,e440a7e0b035aefbd137f67bae3a098b11210a64
20,03db6b89c46d83b17724bf853414b21c5c27edf5
434,78267dccab5783b5f0e015a6441432a2f13d6c72
507,188df8598700af99cec9a1a1c499451432b72ec5
35,03db6b89c46d83b17724bf853414b21c5c27edf5
21,03db6b89c46d83b17724bf853414b21c5c27edf5
466,03db6b89c46d83b17724bf853414b21c5c27edf5
599,9b77674aedc1a4293f89f62e76549ce621e69c83
552,bd5389d3f6b39837946f118ab42c22cd3be8911c
592,188df8598700af99cec9a1a1c499451432b72ec5
567,dd9cb0cb82f2727087f27049d2bae3637e4f6538
552,188df8598700af99cec9a1a1c499451432b72ec5
576,3a102006e569e9d8275ade67802baff86d427678
552,9b77674aedc1a4293f89f62e76549ce621e69c83
20,75eb98b379537a6e824195e42be0132d1ac1cf50
592,87ccc5cdbaf660d993d72cadd3a70a4d27929caa
552,188df8598700af99cec9a1a1c499451432b72ec5
599,ff21ecd1f87911d977989cf70e6dcfb8e4cba171
6,3ac00f1847b4a655f18b4ecbd06c3507e1184713
576,03db6b89c46d83b17724bf853414b21c5c27edf5
496,9b77674aedc1a4293f89f62e76549ce621e69c83
599,9b77674aedc1a4293f89f62e76549ce621e69c83
241,762522a5b5005cb31c067434e076315f2e651d9f
552,bd5389d3f6b39837946f118ab42c22cd3be8911c
652,ffd1dfdb4c3f8281b1f9b67269cf037d280d7bdd
577,7eefca6e61731bd147a685dd6cea097bc3310193
577,03db6b89c46d83b17724bf853414b21c5c27edf5
652,447f5020e7aeed8fed90a60cfaa869584914b38d
13,63426060804142c537cf69ca1912cd028fc4fc57
496,bd5389d3f6b39837946f118ab42c22cd3be8911c
680,de8ece7b084f8ae43ece6fb579c340b79e834aae
17,4f8970283260c9798d53c4e3fc31dc3bf83f128b
592,bd5389d3f6b39837946f118ab42c22cd3be8911c
658,03db6b89c46d83b17724bf853414b21c5c27edf5
82,d3802335b4c4edfda486d841b4a54fdcab020d8d
672,9b0709214d6194fa1094f84d8dbfb14d6e24989a
48,4f8970283260c9798d53c4e3fc31dc3bf83f128b
25,709544d59682896847db3650e16bf78e63b2b2ce
364,b1b418533433dc300b08ccffecb0873a76983105
552,188df8598700af99cec9a1a1c499451432b72ec5
592,188df8598700af99cec9a1a1c499451432b72ec5
592,188df8598700af99cec9a1a1c499451432b72ec5
496,188df8598700af99cec9a1a1c499451432b72ec5
658,3fc352465eb967e7458c782ac2dac5b80a00f4ab
751,bd5389d3f6b39837946f118ab42c22cd3be8911c
761,96e695dd4b6a268d2b911322e1873f6e4e298861
647,8a56a09bf8289690eac3137a1e02a8f2a540f322
792,bd5389d3f6b39837946f118ab42c22cd3be8911c
552,9b77674aedc1a4293f89f62e76549ce621e69c83
483,fb572383af459a455ee7048496611607dadb7192
552,188df8598700af99cec9a1a1c499451432b72ec5
552,9b77674aedc1a4293f89f62e76549ce621e69c83
31,c145baf7c592645bf5ad5f2f7b4c2758f63dc663
18,b99b8a14bdf59b76e6d0e1bd2f6bee8fc613df08
35,c145baf7c592645bf5ad5f2f7b4c2758f63dc663
785,853cb9082436a13dbf2955e9b9c6053aef4597a3
77,d2fb386fdd6e11f371eca73099fd1f4082402fbe
867,68a6ed9ea13e20a1537873f707ec05fb0455a123
905,f4c7dd8c9536b2ca7e1dd40df1aacd8930b510fd
868,68a6ed9ea13e20a1537873f707ec05fb0455a123
920,76fb96c821625abff826ce65d8d22a0262c6ce85
819,e0cd282a0eb855714d7f508e62e681bef97ebe7a
932,7e5ea5af6df72c218f7addb35092272a69aaeb18
919,e0cd282a0eb855714d7f508e62e681bef97ebe7a
229,0281dd43c0c860956d8d68a734a2bd47bd309a42
228,4499c270df4b02b89cee0ea54b32fa9ac703bb74
855,807f008d5c7181576580f185ea013dc0f1b86f8d
496,28189337c30cf629d3d05ea05613765f6afd1837
22,d2fb386fdd6e11f371eca73099fd1f4082402fbe
389,4499c270df4b02b89cee0ea54b32fa9ac703bb74
843,a066fa9ce7326bedcff022d15971ffa57b30852e
541,4499c270df4b02b89cee0ea54b32fa9ac703bb74
918,9601494e94f6e7cc30b7d1611ce86e97bd39e704
867,ab30e1092f808cfe7a75f5a5ea5f85bb1d55a341
932,c36a51fbded1366370c854fee1d326ce88854beb
843,731fdec48ee4f098a4834887ea44ef25aaccc5dd
17,5f42eeb3399e27fc1923b436889707b0c51ecc42
10,08477323196c5e8cfeb355ae8d3c3332009b2c4f
652,4499c270df4b02b89cee0ea54b32fa9ac703bb74
592,c9e2007a9d5774454ef5371dec11799579944bde
732,812c77b74b0ab201d31bf51ffb58de0dde9ba893
17,5b56912bc391fc73afc34a92dc0566d870874ccd
905,4499c270df4b02b89cee0ea54b32fa9ac703bb74
10,f7f6954519a8297d70886e28566fbcb07613df57
496,812c77b74b0ab201d31bf51ffb58de0dde9ba893
872,afa7a2f390fa35a4ec0d46f85f48b423bde0b9e1
6,6b14fba20684e78ca0581027d7310dcb7b016054
592,812c77b74b0ab201d31bf51ffb58de0dde9ba893
10,2e2049c73f1e84ac9d89f4907b1885f572291efd
20,92bbcd95fd4c4488de51d6827c2a2d95205f408a
1000,812c77b74b0ab201d31bf51ffb58de0dde9ba893
1105,28189337c30cf629d3d05ea05613765f6afd1837
803,28189337c30cf629d3d05ea05613765f6afd1837
1110,d56f4dd8e25d6c78e2943cbdfd46978d91cb70e2
1026,9cb97e02b1c9860052d13bee7656c1062d8d590c
1136,ad143c0bf0900ee56cbc60d3664fa02db9037eaf
10,6c802a478f71f11d4778b57b83d0c4f1f06b98c1
35,2cec84c74b1227b22283abf7510fef8bd93115cf
395,6894b7bb74c2a9e02770204a7ae22583c9bd08ea
1060,6021850801944e135c8f2c6613cd6ba7f91a0053
