Forum_user_id,thread_id
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,1
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,2
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,2
5b81f0373ba7ef4f0dcd572537ea613eef2b42b0,1
74ebbb85d84d5559bf51f4f719c38912c696f318,3
0439885634227377250558f7ab7ba0da7c4c942f,1
68f60320f9dc5a5191104f0be41ed367b1b1e871,1
9fd401b913c68610925b3f9a8f180ae0801cf46e,4
74c8fc5f3bacf9cc50c7d9148cf4ae298b4d306f,1
dc871c78decd0371826975721d16e5c2779815dc,1
beb7fcaea0d1465a5ccb8e48671598dc6be42b86,4
9ae0f6cfb9e83db30faca2b87203b46995f96654,1
74ebbb85d84d5559bf51f4f719c38912c696f318,1
9ae0f6cfb9e83db30faca2b87203b46995f96654,5
6ee9231aee3f536af5d123b766c00fbb29a3ed8f,1
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,4
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,5
beb7fcaea0d1465a5ccb8e48671598dc6be42b86,4
71ad3adeaf10f512c6e49939697748ec4515738e,6
93096d16be9573351749a30af0d56cfd687e79eb,7
613beea583ed4266b0e9169dfd3e9ca5d128de65,1
778e4dd29367d8d7532f8ad4258259405476fc4e,1
117d15cfdff0e5406f2dc98f653af4401f8d5fee,1
1401450201b4a0328de71a1fbedebbdf1b15a958,1
9fd401b913c68610925b3f9a8f180ae0801cf46e,4
aac5f4884efea9c8810c8bcb1b8910ecd500f60b,1
40293ba43634d48d9ff01bf45a51b570ff30ae81,6
4bca11cfa7eef4149449b450987eae95e0e8de85,1
422622f19bc740e241d7bd0dabc5d2c29c3ee9f5,1
92c0a0000816968afe76397ab11de8db4a9fabf7,1
f5d1e8e80b7c025800a4a3e20bd121c531ee028b,1
5ed41102c534e3be23383a3b7bc6188865888511,6
b96b52f915f9ad293e2437aa8812e498a42942d4,1
b49e0f63e4d307caf351a14e76c03b2f3ab93ea9,1
6afca4c5e7d197e77a06556d0368ecf8c2a64aca,6
8401276eef4f33bea78159bb270f784357e60062,1
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,8
50140832e7c0f150049bf29758986a82d178055e,9
e89bf67fcf5b9e42ab4d9e2a4e8d0f157839c9ac,1
6afca4c5e7d197e77a06556d0368ecf8c2a64aca,1
50140832e7c0f150049bf29758986a82d178055e,10
628a69f9a2abe77e3887efbb42874ef721882ed7,6
c9e8b8d664df15f3d9c07259dd964773e65fb8a6,6
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,10
8c56af97d69e76e06b1d8241cf8f05254e26a022,6
fd86965b17b7dfb565e9a34676584764ec039ede,6
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,2
4bf725f1c124f99ebb08c9d6ef0b55e7a58ea379,1
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,9
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,6
8f6740a472407f6c48a5351138299fe18da07987,6
5b3d775cc0be8b6c6fdba09bd5f4cdfaa588659e,6
e5f388e39aad32f4033c77a4e93a477d7235d267,1
8795fb80d128bfd2878638b8653a42876aed6de0,11
669ffba265da97439a83d4c78f47efcb6eb4005a,1
4607303a4f176f20b1fd72e520a1789aef606e50,6
1b901b0595d56b308c46166494e0e7258b519913,1
135688bb22bb08cac25cf1be5e187f4e001bba60,6
ca5e638e0ee1cb26d4e439691f95c4919288e6cb,12
c7bd60ffb14ee7cade3a7c6642b7e3c960a7dd09,13
a718ffd444c44409f1b2809222d5e5583b62bd67,1
1d1cf463b37663caaca49a0df53859a022ab378f,6
f648094ca8dfecf900ffb00ca1180062048808be,1
457f04ae86f3468f45dbd343822fede184868a47,6
2a27bd828ba66f9df6f5500d7d9febab4c190210,1
0062663c934a8814faf1d80742880f6b6ab2b7cc,1
b7c76a12ac30107f73c33d1203bbf8e38443c7e5,6
88f37bff95e294d2145e36ac3bb0265a74c60ee3,6
fc248b0b9e3134822c11cc75aa701a19196334e5,6
e60562f1bbb628edf55e070c67e973ddf18ea08b,10
efe6bb2cb5595ada3cf922f35b37f5852f8c41bb,11
3dcbb05c736751afd33c54619ad092c88584c3b8,1
e2a9995b1cbd6f4ff75109be6da53c4210395ac6,1
e99fdd408b9870bcf17419d5e212c0a364a4dbd0,12
ddefe0ecbd4b637f20bd2623630882be06307d17,1
249db0b637d054845ba307f94e90e01e31ed666b,14
249db0b637d054845ba307f94e90e01e31ed666b,15
